1: 垃圾，一点都不好玩
165: 烂游戏，看跑男，李晨，郑凯。

166: 什么烂游戏，打都打不开

167: 无聊死了，别下载

168: 一看就不好玩

169: 一点也不好玩，千万别下！

170: 垃圾的要死

171: 各位，拜拜了。

172: 兄弟去看跑男吧！别看这个节目。

173: 知道为什么我不喜欢这节目吗
因为我讨厌那想主持人，不帅气。
王乐乐头那么大，我快笑了。

174: 大家千万别下这个游戏。不然是孬种。

175: 你们在进游戏的时候，有个主持人展示一下，那个人就是王小川。

176: 这种节目。还不如奔跑吧兄弟呢

177: 垃圾节目，还出游戏，真是坑爹啊！
参加节目的人，个个长的黑不溜秋的
看都看腻了。越看越不好看。

178: 我可以进去，就是太坑爹了，这个游戏好贱哦

179: 好玩是好玩  但老闪退

180: 什麼狗屁遊戲啊根本都進不去

181: 太坑爹了

182: 挺好

183: 我为什么能进去

184: 去他的，进不去。

185: 贱游戏，坑人

186: 嗨嗨

187: 什么啊，玩完之后退出来，居然把手机弄黑屏了，没办法只能拔电池了！！！╮（╯＿╰）╭

188: 草他妈地进不击

189: 进不去，下载后果断卸载，浪费流量

190: 卡是卡了一点，但很好玩，赞一个

191: 很好玩

192: 怎么

193: 进不去！我要投诉！王八蛋游戏

194: 还不错！前几天下载一款⑩分难合成，也好好玩！挺喜欢的

195: 打不开没友发玩。

196: 很好玩！

197: 什么拦游戏

198: 太差了，没玩就闪退

199: 一点都不好玩，最不好玩的游戏就是这个，谁下谁后悔

200: 不好玩

201: 还行

202: 还阔以

203: 卜！？闪退

204: 好爽啊！

205: 还可以

206: 一点都不好玩

207: 打不开

208: 打不开

209: 差评

210: 刚下不知道玩

211: 排行榜分咋都这么高。。。

212: 不错，发现款激情飙车2也很不错，挺牛的。

213: 不错，不会闪退

214: 挺好的说

215: 太坑爹了，进都进不去

216: 看看我你就会知道，游戏是可以这么玩的

217: 挺好玩，还能去现场参加节目，可惜距离太远了

218: 还行吧，没事跑跑

219: 箭头模式没玩明白

220: TCL手机下的进去5分钟闪退了，三星，华为，小米这几个机也试了也闪退。

221: 这游戏下了又玩不了，大家别下了浪费流量。

222: 不好！

223: 关卡有点少，别的挺好

224: 有点难奥

225: 还行吧

226: 不好玩，老是自动退出，玩的时候还可以

227: 闪退

228: 画面清晰，不错滴

229: 垃圾   下载了 进不去  大家不要下

230: 很好很好很好

231: 下载了玩不了，进都进不去

232: 下个破解的不就不用花钱了

233: 挺好玩

234: 登的上去只是时间有点长，谁要是说这游戏不好玩谁全家不是人！！！！！！

235: 说好的更新年那。。。。。。。。。

236: 滚滚滚不好玩

237: 闪退我操。。。

238: 尼玛，我靠玩都玩不起，老是闪退！垃圾游戏！千万不要下！

239: 这叫变相压榨，懂吗？这明摆着是个圈套，哪个逗逼要是掉进去了那可就归他到一辈子霉了!

240: 玩毛啊  没意思

241: hehe
..

242: 觉得不好玩阿。

243: 完美啊上溜溜根本不花钱玩得爽得咧

244: 滚滚滚好吧

245: 一点都不好玩，狗毛游戏的

246: 你们都玩到30关吗？是玩30关的人就赞一下

247: 30关就玩不了

248: 到三十级以后就没有了。。。。。

249: 真tm垃圾中的战斗机，完美闪退，基本也就打不开，这垃圾游戏还在电视上做宣传，真tm脑残还tm收费，不知道说什么好了，还真没这么垃圾的！！！！！！

250: 垃圾根本打不开

251: 傻逼，自己手机拉，还说别人的游戏不行，什么事都只会找别人的原因，都不想想自己。这游戏太好玩了，谁敢反对，他就是4货，大家记住了啊！

252: 垃圾，登都登不上去

253: 太简单丁！！！

254: 很好玩

255: 太垃圾了，完美闪退，尼玛垃圾游戏。

256: 我的荣耀6完美运行，那些黑人家的不是枪手就是手机太垃圾了！还好意思说人家游戏做的不行！

257: 跟本进不去     鸟游戏   劝大家不要下

258: 草，进去就卡出来了。

259: 根本进不去，什么烂游戏，别下载

260: 不行，要卸载，哪里点下都收费，我儿子老按着

261: 别下，总是退闪

262: 挺好玩，就是30关有点少啊

263: 日你妈，完美闪退，果断卸

264: 还好嘛

265: 这游戏闪退音乐也傻最好不要玩

266: 太杀马特了

267: 啥子烂游戏勒  这么难耍  浪费我表情

268: 不好玩

269: 民溜溜免费版真心好玩

270: 还行。不过教程声音太杂!

271: 闪退  进不去

272: 好玩！赞！

273: 好好玩的。

274: 根部打不开

275: 三星好使吗

276: 喜欢支持人余声

277: 好玩

278: 无聊好无聊

279: 一颗心都不想给，下载了这垃圾，害我手机又卡，还死机了

280: ccrfdfj11232fyffuff21551g

281: 用找'乐可以不花钱买礼包了

282: 只知道闪退

283: 无聊！又是一个垃圾跑酷游戏！

284: 千万别下，恶心死了，进都进不去

285: 进不去啊

286: 别下！垃圾游戏！

287: 老闪退，不好！

288: 轻轻松松财轻轻弧包括你们钱俩地钱

289: 老闪退，垃圾游戏，别下载

290: 后面有机构

291: 非常不好

292: 妈的，还没进去就卡出来了

293: 告诉我，怎么破解!

294: 妈蛋，还没进去就卡出来了。

