1: 为什么进不去！！！
115: 这新手教程也太长了，又不可以跳过，一开始就要你过这么多副本（´Д`）

116: 甜蜜蜜

117: 我在星辰之怒47区四十三万战力！等你来战！◆

118: 玩儿不了的手机有问题呗！

119: 为什么要做成卡牌的？多没意思，好吧，就算你做成卡牌的，为啥不做成3d的？而是用最初版的卡片形式？太没诚意了。

120: 很好，第二天没闪退

121: 我想问连波塞冬都有了真正的教皇什么时候出呢        角色这么少你让人怎么玩     内容也是少的可怜      活动就更别说了   这样的游戏玩不长好吗

122: 除了配音都好

123: 主角二十多级如何成为紫卡？

124: 为什么第二天就闪退啊？

125: 坑死人不偿命的傻逼游戏垃圾代理

126: 垃圾，第二天就进不去，我玩两个区都是这情况，已经不敢继续玩了，果断放弃

127: 为啥首登过后就不能登了！

128: 还行

129: 15w战斗力幼师座区～爽

130: 怎么用礼包啊

131: 因为是圣斗士迷，所以玩的，除了配音都很好，主要授权官方人物图片很棒，就是这些青铜白银BOSS能消弱点不，我7黄金干不过一个白银，好吧，真心不错。

132: 进去听那第一个配音，我吐了

133: 进不了，连续2天都进不了

134: 说的是什么话

135: haowan

136: 还不错

137: 闪退的勇气 你不玩把你号给我

138: 超牛B

139: 玩了俩月了，我会一直玩下去

140: 闪退倒是没有，这个号我玩了将近半年了，22区，90级。这个游戏就像需要上网的单机游戏，感觉很没有意思，不玩觉得可惜了，玩也没有激情。

141: 进不去呀，直接就是服务器连接失败

142: 听着配音我就删了

143: 闪退

144: 服务器一直连接失败

145: 就奔着动漫来的，不过闪退或者卡屏的问题出现得太频繁了，我朋友用三星的也出现这种情况。大家自己掂量着吧

146: 超赞

147: 童年的回忆，看着自己养成的那些熟悉的面孔，心里美美的！

148: 这配音，也是醉了。听着就没心情玩

149: 一抽卡就闪退

150: 2服天龙座怎么一直进不去

151: 问题好多啊!!! 更新从不提示 干更新又来

152: 更新完进不去了！！！

153: 自动更新浪费了几十兆流量

154: 服务器为什么进不去

155: 很好玩，这是唯一一个让我充钱充得心服口服的游戏，比腾讯好多了，玩的有意思啊

