1: 不错！不错！
197: 非常非常喜欢

198: 非常非常喜欢

199: 貌似靠谱啊

200: 非常好

201: 我喜欢的类型

202: 楼下的托跟上队伍

203: 值得一玩

204: 好东东

205: 游戏名字好！

206: 元芳你怎么看

207: 还可以。童年的回忆~

208: 明星斗地主

209: 好萌好好玩

210: 好给力

211: 好东东

212: 很有名的游戏

213: 好好玩呀！大家快来下吧！我要给五星。

214: 回家路上有事儿干了

215: 好玩，建议大家都试试

216: 还可以。童年的回忆~

217: 还行吧

218: 我觉得可以一玩

219: 加油，支持哦

220: 好游戏啊，不枉费我下载

221: 非常非常喜欢

222: 很好玩的游戏，都来玩吧！

223: 给力啊~

224: 音乐好好听

225: 好玩，建议大家都试试

226: 蛮、好

227: 有没有一起玩的

228: 好！

229: 好哦

230: 赞个吧，精品游戏

231: 老公天天玩这个

232: 这音乐挺好的，做成铃声了！

233: 我和朋友都在玩。

234: 不错，挺经典的跑酷游戏

235: 好经典

236: 我是来看评价的

237: 好东东

238: 非常给力

239: 每次坐地铁时候玩，感觉时间过得很快，也就不寂寞了

240: 跟传统的跑酷不同，不单单地面，画风也很不错，非常好玩，希望有更多的场景

241: 游戏挺不错的

242: 非常非常喜欢

243: 好NB的样子

244: 不错

245: 还可以吧，斗地主里算好

246: 好NB的样子

247: 制作团队很强大，场景恢弘

248: 画面及人物都非常的不错，如果细节做的再好一点就完美了

249: 坏猴币怎么赚啊？坑爹

250: 超级刺激好玩！

251: 画面不错，真心赞一个，

252: 不错哦

253: 跑酷少年2真精彩

254: 还不错！

255: 还不错，可以玩

256: 坑钱！快出破解得想玩！

257: 我了个擦   一个多小时打4800坏猴币  买个人物升1级5块    尼玛坑爹啊

258: 很好玩。

259: 太棒了

260: 可以的

261: 真是太太太好玩啦！

262: 心花路放，挺期待的

263: 很好

264: 还没开始玩，刚下载好，很期待

265: 好，非常棒的配音

266: 无语了

267: 不错的，很好玩，很有意思，

268: 电影还没上市，游戏就出来了，91真给力

269: 要钱

270: 鸡巴游戏，就两个字，要钱

271: 不错 不错画面清晰 是一款不错很好玩的游戏

272: 这个怎么邂逅那些美女，还有召唤那个小狗的呀

273: 我想对你妈说，垃圾，

274: 挺不错的,支持!

275: 游戏画面太美了！玩的很过瘾！

276: 还行，可以接受

277: 很不错的游戏

278: 受不了，还不如不下载呢不花钱什么都玩不了，坑！

279: 游戏还不错，更期待电影的上映了！同时也希望游戏越做越好

280: 还是神庙好玩

281: 不咋地    跑步像漂浮

282: 挺好玩

283: 垃圾

284: 垃圾，，就想着骗钱，，点什么都出来购买东西的，一不小心点错就订购了！！扣话费

285: 真逗

286: 我就是冲黄渤和徐峥来的哈哈！！！

287: 好玩，大喜欢这游戏

288: 很好玩，就是路障有点多

289: 做的很逼真的游戏，不错！

290: 还行

291: 还可以吧，至少是免费的，期待电影上映

292: 强烈推荐，这个好玩，搞笑

293: 不错

294: 挺好玩的

295: 好玩

296: 哎，我去，这不是电影吗？怎么成跑酷了？晕！

297: 打不开

298: 太难了。。。

299: 好好好好搞笑，，，，

300: 里边人物很真实，画面也不错，外甥女很喜欢玩

301: 场景很逼真 没事儿撞黄勃 哈哈

302: 场景很逼真 不错不错

303: 不错

304: 这枪战太激烈了吧

305: 艾玛，挺萌啊，上来就把黄勃撞死了

