1: 、“'
134: 真的很好玩的

135: 才登进去,就退回主页,太差了

136: 太好玩了

137: 三星s6玩不了。没图案，只有声音。

138: good

139: 完是还可以，但是老是弹出来，玩别的都不会。

140: 我名字提到的就是大家都喜欢的

141: 好啊！

142: 打不开，只有声音

143: 挺好玩的

144: 好玩 真的好玩

145: 很好玩

146: 咋还收钱呢，孩子玩会一不小心就付费的咋弄

147: 太棒了5星

148: 不错啊 游戏可以

149: 好玩，赞，希望再出功能。

150: 垃圾。不好玩

151: 你好，你们有没有无数钱币的

152: 看我就是知道很好玩啦

153: 玩不了啊，

154: 里面的一些道具好难得到，像蜂蜜之类给宠物吃的。

155: 为什么珍珠那么难的

156: 真是的，进一次闪一次！不过游戏挺好玩。给4分！

157: 挺好玩的就是一直让买道具

158: 好玩

159: 坑死了，宠物还必须2级才可以用。不好玩

160: 坑，用钱才可以解锁

161: 还行

162: 扣钱，坑爹，别让小孩子玩

163: 老是闪退

164: 老闪退，我手机没回题。闪完还停止运行。

165: 好玩啊！只是有时候有一点卡顿～付费的地方太多了( ｰ̀εｰ́ )

166: 这个游戏确实可以有！

167: 游戏还不错，就是有点难度

168: 还有光头强，太酷了！

169: GOOD!!!!!!!

170: 五星,哥金翼天马都有

171: 好玩，必须五星。

172: 为什么总闪退啊，刚缓充到百分之80几，就自己退了

173: 很好不错，棒棒哒

174: 为什么?打不开了?？？？？？？？？

175: 词都被你们抢光了，一个字，好！

176: 为什么打不开呢？

177: 还不错，蛮好的，打步骤的，不是耗时间

178: 艹，太费钱，100多块钱，一夜间灰飞烟灭，千万别下

179: 好玩，不错，给五星，大家都来玩啊！

180: 算挺好的了，打发时间

181: 我按home键都要把手机砸烂了，就是回不去！

182: 真的是极好的

183: 还可以，比较适合上班族，慢慢玩嘛

184: 还需要网才能玩   没有网玩不了   只能去别人家蹭WIFI  希望不用网也能玩

185: 玩着玩着就卡了

186: 您的赞美就是给作者最大的回报，觉得好就表扬TA一下吧。fgf

187: 非常好玩

188: 玩不得我去

189: 好玩极了！

190: 好玩,很好玩。

191: 太好玩了,只不过有的角色要钱才能用

192: 玩不起！不好玩！

193: 手机太卡了

194: 还好

195: 太好玩儿了！

196: 超好玩！希望熊出没之熊大快跑越办越好

197: 太好玩了

198: 好玩吗

199: 用电脑连接手机下好了

200: 给王瑞瑞。

201: 还行

202: 我名字提到的，就是让人喜欢

203: 太好玩了，给你们点24个赞！！！

204: 我这手机一点都不卡

205: 好好玩，小弟弟喜欢

206: 真好玩呀，果断5分

207: 挺好一

208: 嗯嗯嗯嗯嗯

209: 老是闪退，进不去。。。。。

210: 我考你妈，什么破游戏，宠物全被卡没了！

211: 游戏爽死了,太好玩了,我给10000个赞,希望多加点人物，早点更新，最后，我想说：这游戏太太太好玩了!

212: 根本进不去呢  啥破玩应

213: 免费得游戏就是好呀，太好玩了

214: 耗电量大吗

215: 怎麼進不去

216: 还不错，各抒己见

217: 太爽了

218: 还不错，看评论客服很给力嘛- -！

219: 太卡了，要他往左他往右。醉了。。。。

220: 还不错，只是20000米以后不花钱就过不了

221: 根本开不了

222: 不好玩

223: 我有五百多钻石,五亿多金币,我还是黄金VIP。光头强用炮弹炸我，我用光头强踢蓝炮弹把光头强炸个狗吃泥

224: 大家都喜欢我名字提到的

225: 这个挺好玩的，如果不要钱就更好了

226: 一般般啦,还算可以啦,如果不要钱就很好了。

227: 我呸，不好玩

228: 兔兔同学。

229: 不知道为什么就是卡的很……

230: 老是玩到一半就关了，不好玩，别下，下完就后悔。

231: 北师大到你了一些问题

232: 很耗电，又不好玩！

233: 给力，很喜欢，玩了几个小时停不下来

234: 这个游戏真心不错，就是太费钱了

235: 三星S5830为啥不能玩？

236: 还行吧

237: 刚玩，还可以吧，不一样的风格

238: 完全进不去！大家别下！

239: 开不了

240: 还行吧

241: 大公司游戏就是好玩

242: 进不去。很差。

243: 客服妹子好辛苦  这么多一一回复  赞个

244: 明明我就是下，它就上

245: 玩是挺好玩儿，但是有时候你往左，他偏要往下。

246: 以前还告诉兑换码现在连个狗屁都不告诉！

247: 升级要钱吗？

248: 什么狗屁游戏啊，连个兑换号码都不告诉！

