1: 太筒單了，一下子就過去了。人物還這麽醜。

169: 闪退。还没有玩一次呢

170: 我是因为电视剧才玩的，但是玩了两次之后就每到百分之百就闪退，气死我了!!

171: 无聊透顶。

172: 大家不要下，实在太慢了[无语],点击[ http://pinyin.cn/e4407 ]查看表情

173: 玩的还好 不错 最好可以用QQ登

174: 一星都不能给，闪退烦死了，

175: 垃圾游戏，又卡又难玩

176: 为什么登进去玩了几下又被闪退出来了，希望你们能够好好的改进一下，最好把3D画面改进的和天天酷跑的话面一样！这样大家才会给你满分！

177: 老退闪 玩不了，太坑爹了卧槽

178: 老是在62%卡住进不去啊

179: 一流!超好玩!

180: 妈蛋，你奶奶的鸡米花，这么烂的游戏也敢上市。还一直闪退。

181: 狗屁游戏，电视剧十分好看，我也是为了追剧才玩这个游戏，但是总是闪退

182: 还行

183: 千万别下载，纯属坑钱

184: 可以下载啊不好卡

185: 垃圾游戏

186: 还行，会闪退，而且很卡

187: 老闪退

188: 加载到62就停止不动了

189: 他妈的进不去10分

190: 垃圾游戏，老闪退

191: 我的就可以玩了

192: 恩恩  进不去啊  看在今天是tfboys两周年的见面会 就不给差评了  也看在若白爸爸【杨洋】吧面子上吧

193: 我想知道人物能换站位吗，怎么换

194: 我用iPhone4都能玩

195: 差爆了，只能进到36

196: 很好！虽然会闪退，但能进去，闪退只是卡而已

197: 太啦了，不好用

198: 根本进不去，烂游戏

199: 我擦我的平板连进去都不行

200: 加载只能到62

201: 用网吗？？

202: haowan

203: 什么都不想说

204: 闪退

205: 超好玩，闪退是因为内存不足的原因呢，这个游戏真的超级好玩

206: 为什么玩着玩着 就闪退了

207: 这个游戏很好玩

208: 好好好玩

209: 超好玩，本来是为了追剧才玩的

210: 闪退

211: 进不去

212: 很好

213: 气死我了，一到关键时刻就闪退。我都完玩不成了。。。

214: 天，玩到一半闪退，这是在耍我玩么。

215: 好长一段时间没玩了，今天又重新删了一些东西安装了，还好之前的记录都还在，继续玩，偶尔还是会像之前一样闪退，不过还是很好玩的一款手游，内存占的够大的。。

216: 怎么老是闪退？

217: 我竟然闪退到连新手教程都过不了，555~T_T。生无可恋，求安慰T^T

218: 到62%就一直不升

219: 都100多次了

220: 我一直都进不去！

221: 很好玩，只是偶尔弹频

222: 52区，迷糊的波板糖。大家来加我吧！

223: 我用oppo手机玩，没见过闪退，手机价格一千块钱都不到，现在已经玩了差不多一星期了，明天就可以领廷浩了！欧耶！

224: 为什么总闪退？希望改进。因为闪退这一点所以给四星。

225: 超好玩

226: 为什么加载到60%就不动了，请问什么原因啊

227: 好玩是好玩，就是老也闪退

228: 挺好玩的，但是总是闪退(╰_╯)#(╰_╯)#每次都是玩到一半就闪退，那一关总是过不了

229: 操，OPPO  R7手机都进不去。

230: 嗯，有闪退的情况，但是挺好玩，不过我是玩不了了，在招募到光雅之后的那场战斗前闪退了两次，支持旋风少女的点赞，支持白敬亭，吴磊，杨洋，陈翔的点赞，让我看看有多少..

231: 怎么老闪退

232: 就你那破手机好？闪退就闪退，你说假话有意思？

233: 进不去？怎么回事？

234: 超好玩

235: 非常好玩，说不好玩的都是因为手机不好，会闪退，所以证明很好玩。

236: 超好玩，但是为毛经常闪退

237: 老闪退

238: 闪退到暴

239: 第二章的二至三关怎么过

240: 用网吗。。。。。。。。。。。。。。。

241: 好玩

242: 这游戏能不能玩，老闪退！

243: 闪退

244: 不错的，只是很简单哟，挺好玩的

245: 你说好不好玩，好玩，不好玩，你猜对了！错了！还是 。。。。。……。…你…。…就…

246: 大家来51区找我玩，我叫刹·天！

247: 我没闪退，而且不卡，是你们手机问题

248: 真的闪退的不行啊！！！！！我不是一个人！！！！肯定不是手机问题啊啊啊！！！！

249: 打不开

250: 老是闪退

251: 我玩的玩的就闪退了，不过游戏确实很好玩。

252: 不好玩，太难玩了

253: 总闪退，变态啊

254: 赞赞

255: 真是够了  老是闪退怎么回事

256: 看起来好像很棒，但我还没玩过

257: 很好玩

258: 打不开，而且闪退。不知道是我的手机烂还是游戏烂。

259: 为什么打不开？

260: 良心做的游戏

261: 太好玩了

262: 更新后，原来玩的就都不见了，害得我玩这么久，就过重头再来

263: 下面大家评论中出现的问题我都没遇见，玩起来还不错！

264: 都下吧，非常不错

265: 我都下了几次也
进不去

266: 根本进不去

267: 为什么那个vip我没有充它自己就送我了啊vip还有送的我一分夜没充啊

268: 好玩，但为毛世界总是没人？世界都没人了，那这个游戏不就更少人玩了？

269: hhhhaowan

270: 好玩是好玩，可为毛老是闪退！

271: 为什么打不开这个游戏

272: 根本玩不了

273: 这个游戏就是下载了，安装了，登陆了，退出了。

274: 不要下载打不开求解

275: 进不去，破获

276: 老是闪屏幕垃圾

277: 人物长得好恶心！

278: 要网！！！

279: 好玩的很

280: 妈的，更本进不去

281: 要不要网？

282: 为什么进不去

283: 好玩到爆!!!!顶赞

284: 挺好玩的！不错，建议下载！

285: 很好玩的

286: 还不错嘛！

287: 可难升级

288: 我都100多级了，一直名列前茅。你们呢？

289: 真的很好玩。^o^

290: nonono

291: 好玩

292: 靠靠靠靠靠！！！！总是加载到百分之48就不动了！

293: 很好，如果你们不下会后悔的

294: ！很好很好很好很好很好很好很好很好hhhhh

295: 这确定是正版的？设计游戏的是智障吧！闪退死了

296: 会闪退，可很好玩！！大家一定要下，不然会后悔！！！

297: 真的太太好玩了！！！！！！！！！！！！！！！！！！！！！！

298: 闪退

299: 为什么会闪退啊？？？？

300: 非常好玩，就是要网络。不下会后悔的！真的很好玩！

301: 进不去        闪退

302: 垃圾，太垃圾了

303: 超好玩，别听他们的，快下，超好玩，给五星都不够

304: 还好

305: 根本进不去   神马东西  一颗心都不想给  大家们千万别下载  下了只占空

306: 还可以

307: 什么垃圾游戏，简直侮辱了电视剧。给它一颗星我还嫌多，别看封面好，其实里面画的可垃圾，大家千万别玩！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！

308: 不知道怎麼了，系统一直让我点训练场点完之后又让我退出来

309: 这个游戏还有点好耍

310: 要网吗？各位

311: 模仿不良人的

312: 这个
用网吗？

313: 不错

314: 很好玩的一定要下载

315: 很好玩，32级，五人共一万战斗力。道馆打起来还比较过瘾。

316: 挺好玩，不过老闪退

317: 好好好好好好好好好好好好好好好好玩

318: 好玩，没有闪退没有黑屏没有广告，真好

319: 怎么登不进去啊

320: 是单机的吗

321: 老是闪退，怎么办啊

322: 好玩是好玩，就是老闪退。

323: 整个人都不好了，很好玩的游戏，16G的内存，老是闪退是几个意思？

324: 好玩，和花千骨一样

325: 好玩

326: 我下的那个到啦了正在为英雄做按摩62%就卡了

327: 为什么打不开而且我的是新手机，4G的，好想玩啊？！为毛打不开

328: 为毛老闪退

329: 为毛老闪退！！

330: 离线的吗？？？

331: 而且戚百草头发根本不是紫色的，好吹

332: 一点都不好玩，和花千骨差不多嘛，还不如玩花千骨

333: 老是闪退

334: 还不错，看图片就好玩。

335: 老是闪退

336: 下载好慢

337: 非常好

338: 非常好玩

339: 哇塞，太好玩了！可是为什么闪退？

340: 好玩，闪退的是你手机不好

341: 非常好玩

342: 需不需要网络

343: 这个游戏很棒，建议大家下载

344: 这个游戏棒棒哒，大家快下载吧！

345: 很好玩儿，

346: 很好玩，还可以提前了解剧情的发展

347: 容易闪退不过很好玩

348: 2个字好玩

349: 很好玩，五星

350: 为什么玩到高潮就闪退呢？还可以，只是有些不足，给三星好评

351: taihaowanl

352: 好玩是好玩，可为啥总跳出来呢刚刚玩上瘾就跳出来

353: 挺好玩的

354: 很好玩

355: 也还好吧

356: 不好

357: 老是闪退，不好

358: 总闪退！

359: 片死了，加载百分之48不行了，不好玩。

360: 怎么说呢、有点无聊(￣Д￣)ﾉ

361: 卡死了

362: 进都进不去，只到48%就卡住了。

363: 求虐

364: 一点都不好玩

365: 老是动不动就打开我的流量，话费都扣了不少，建议不要下载！谨慎选择！

366: 老是闪退，没法玩了

367: 好玩❤❤

368: 玩了很久很好玩呀

369: 为什么总闪退啊

370: 怎么进不去

371: 刚下，虽然不知道好不好玩，但是也打个五星，偶喜欢百草，嘿嘿

372: 啥破玩意，一到62％就停着不动了等半天还不行！千万别下。。最后的提醒:千万别下！！！！！

373: 挺好玩的，就是闪退啊，

374: 太卡了

375: 闪退的。

376: 好玩。但有两个缺点：1.就是卡。2.就是在玩的过程中出现自动退出游戏的缺点。也就是所说的“闪退”。

377: 非常好玩，说闪退的人的手机都是烂手机

378: 不错的

379: 好玩是好玩，就是老闪退，一玩到高潮的时候就没了，好扫兴

380: 手机不行，总是卡

381: 好好玩的说。。还有道馆挑战赛什么的，很容易上手

382: 坑流量！！！！！

383: 一分钟都还没玩到就闪退！我连一星都不想给！

384: 不错！挺好玩的

385: 怎么进不去啊

386: 好玩，就是能把少年若白改成年若白，还有少年百草改成年百草行吗？

387: 好玩，说不好玩的是手机不好→_→

388: 抵制日贷，反对日本，日本人的的东西滚出去

389: 要不要联网

390: 真的好玩，上手级好，大家都快下载

391: 不要下载  玩不了

392: 游戏蛮好的，上手挺快的，已经连续玩了四天左右了，就是有一点点插曲，有的时候会闪退，望改进啦

393: 这个游戏挺好玩的，大家踊跃下载吧！

394: 超好玩的，凭什么说的不好啊！如果你的手机是闪退的话，说明是你的手机出了问题。

395: 一直闪退是怎么回事？？

396: 不好

397: 挺好玩，但是为什么没有存档的地方？退出游戏再打开玩就要重新开始玩了

398: 喜欢白敬亭的赞一个

399: 都是那找屎的62

400: 我都是最后加载99%就不行了，千万不要下，我想冒险王2，真好玩。

401: 玩的很顺畅没有一点不好

402: 一直都在62千万别下

403: 为什么一直在62%停止，一直加载，但却不动，果断卸载，千万别下载

404: 谁能告诉我怎么才能玩呢？一直都在加载。

405: 总闪退！！！

406: 老是闪退

407: 为什么右上角的[X]点不了

408: 玩不了啊！老是加载到62就停了

