1: 此游戏开发者确定不怕天美叫你上法庭？
155: 我真羡慕那些可以花钱买老鼠的人，别人都是7-8个老鼠角色，我就一新手出来就送的老鼠，人人都是高大上的武器，我也是进入就人人都有的叉子。活动的礼包能看不能买，每次都是购买失败。玩了两天，最高分169w。到后面没有三连跳，滑翔真的很难过。真心伤不起，我想买东西为什么都是购买失败呢？？？唉，不过我发现这游戏没开流量不联网居然也能玩。。。

156: 游戏很好玩，老鼠也很多，这游戏没流量居然还能玩。只是有一点要吐槽，官方说的道具付费我怎么没看到，想买东西买不起的，都是购买失败。想买个老鼠都买不起。难得官方不赚钱吗？还是我手机的问题呢？

157: 麻痹，这狗日的破游戏

158: 太黑了，一不小心就扣钱，扣的还多，真黑

159: 好玩死了，没黑屏

160: 太好玩了。好！好！好！好！好！好！

161: 好玩,只有内存不足的人才说不好玩！！！！

162: 太好玩了！

163: 100关之后为什么就没有了啊

164: 不能玩

165: 为什么闪退啊！出现了一个网易游戏的字就黑屏了。

166: 太棒了好好玩的

167: 童年~

168: 可以好玩

169: 很好啊！ 不错 一直三星

170: 不错吧!

171: 还可以吧 .

172: 好玩吗

173: 小编，为什么这个游戏闪退啊？

174: 好玩

175: 很好玩挺有趣的  我的手机没有闪退现象

176: 喜欢游戏，也喜欢我名字提到的

177: 很好哒(ง •̀_•́)ง，总之什么都很好，游戏很好，可是我玩一玩就觉得无聊了，可能是个人问题(*/ω＼*)

178: 正在下

179: 好玩，但有一些暗箱操作在联赛里

180: 好好玩

181: 还可以，挺好额

182: 闪退，闪退。

183: tfboys是我女神，是掏粪界神，四叶草顶起

184: 不错

185: 好玩但是老鼠太贵了还很难过关

186: 老是闪退，根本进不去，给一星都嫌多

187: 还可以

188: 我靠

189: 太爽了相信我现在的游戏超好玩儿，34ｋ纯属好玩。

190: 很好玩，不过为什么有时候可以签到有时又不行了

191: 超好玩，都玩了一上午了

192: 为什么进不去T^T

193: 超好玩

194: 为什么苹果更新到120关，安卓系统只到100关

195: 呜呜呜呜呜呜呜呜呜呜呜呜，进不去，童话都是骗人的。!!!!!!!!!!!!!!!!!!!!

196: 太好玩了

197: 好玩

198: 还不错，蛮好了

199: 你妹呀，安卓版的怎么什么都要钱买呀，苹果mini的版本打道具换就可以…角色不买过不了分数的关卡~X~又不更新，mini的早更新了……再过不去，卸载玩mini的~

200: 我想问问，买东西是用自己钱吗？

201: 好啊

202: 不好玩。莫名其妙的就死了，卡

203: 超级好评，棒棒棒

204: Kao    骗人,玩不来

205: 好玩

206: 很好不错很好玩

207: Kao，打不开

208: 那个头像是王俊凯的狗我诅咒你永远玩不了好游戏！

209: 不错

210: 好玩100关全过了，没充钱

