1: 宠物小麦技能被洗掉了，这只宠物没什么，希望能改回

2: 还好吧！就是老要钱

3: 好玩，就是人物太贵了。

4: 女玩啊！

5: 一点都不好玩，什么破游戏！

6: 差评！！！！！(๑•ั็ω•็ั๑)

7: 太好玩了 100000赞！

8: 非常好玩啦！

9: 根本不要玩，就是想要你钱，不好玩。一个复活要2元，全程磁铁要4元，礼包全给钱，冒险根本过不去。完全仿照天天酷跑，不要下载，不好玩。

10: 不好玩，什么破游戏

11: 游戏不错，赞一个。

12: 不错

13: 抄袭天天酷跑。

14: 还好吧

15: 好好的。

16: 太棒了！！！

17: 非常棒！

18: 一点都不好玩 浪费流量 完全是在模访天天酷跑

19: 还好

20: 我是萤火虫哦

