1: 怎么找客服  啊  我现在账号上不去了

2: 我玩了一年多  结果被封号

3: 为什么我登录以后，选好服务器了，就是进不去呢，怎么回事
134: 这个游戏做的真的很不错的，有着不同的体验呢

135: 其实这个游戏做的真的挺不错的

136: 49后升级慢死了

137: 垃圾游戏

138: 什么垃圾游戏，就看到纸片一样的人物走来走去，各种俗套的玩法。玩了一分钟就退了卸载。

139: 进不去了

140: 在兰陵王游戏中能看到电视剧剧情啊

141: 游戏不错，下载体验体验

142: 好玩，我叫甄韦大

143: 我说有些人，要钱就是破游戏，人家吃多了免费给你做游戏啊

144: 还行！

145: 尼玛又换名字了

146: 4b

147: 太棒了

148: 还行

149: 不好玩,不花钱玩不下去

150: 什么破游 开始玩的好好的 今天就进不去了 还充钱了  它奶奶的熊

151: 昨天刚下的我个人觉得蛮好玩的，在wifi环境下玩一点都不卡

152: 不好评论都删了吗

153: 为什么拖这么多，技能死板，人物动作死板，怎么那么多人说好，奇怪了

154: 哈哈，可以下了。

155: 还可以，蛮不错的

156: 舍不得删掉的游戏之一

157: 嘻嘻，感觉爽爆了!

158: 坐骑是可以进阶的

159: 现在下不了了

160: 很值得一玩

161: 还是蛮不错的。挺好玩，点个赞

162: 大家别下，用wifi玩也很卡。下载了包你后悔！

163: 下载可以，但是很坑爹……一玩就掉线，一上线就掉，就不想玩了

164: 下载挺快的，先玩玩

165: 这游戏挺好啊，为啥这么多人乱说呢？画画非常好

166: 刚下载的，就被我弟弟给卸载掉了。

167: 大坑逼～～

168: 不是我手机不行，真下载很慢

169: 下载好慢啊

170: 只看过电视剧，支持一下吧~

171: 2D

172: 这托也演的太像

173: 这托。。。不是一般多

174: 超好玩 300的手机都能玩

175: 我可以说很好的游戏吗

176: 游戏还可以，真心不错

177: 非常的游戏，我们宿舍都在玩呢。非常喜欢。棒棒。

178: 很好玩，我要女神

179: 不错，我已经1000多战斗力了

180: 三星s4完美运行
，不错的游戏

181: 游戏到不错！

182: 非常好。非常棒

183: 怎么获得超强的那个坐骑？？？？？

184: 真的很好玩！

185: 游戏还可以，可以一玩，就是升级太慢了。

186: sony完美运行，不错的游戏

187: 很好玩，就是手太累了，休息下

188: 不错，支持一下

189: 画面很炫！碉堡了

190: 超级赞的游戏！！！！！！！！！！！！！我喜欢

191: 这款游戏还是不错，今年玩的最好的游戏

192: 弓箭比剑圣更爽，打架PVP比较有优势

193: 不错~~应该算是最近最好玩儿的游戏啦！！

194: 今天刚换的手机，玩了一会不算热，内存要求还可以，可以玩

195: 雪舞好漂亮！！！游戏好玩儿！！

196: 无聊，抄袭有意思么……

197: ......what谁能告诉我这游戏到底好不好玩呀！

198: 刷伱媽的好游戏 逗逼虎逼二逼 谁说这游戏好玩死爹死妈蓝jb烂皮炎子

199: 看用户号评都不错，应该是款好游戏

200: 好爽啊！！今天杀了10个人

201: 玩玩也不错。

202: 路过，下载来看看，不知道玩起来用流量多不多。

203: 终于找到好游戏了

204: 我好喜欢高长恭啊

205: PK激情四射啊

206: 大爱兰陵王

207: 我擦，这是我见过最好玩的游戏，谁说不是谁SB

208: 我喜欢啊太赞了

209: 帅的一塌糊涂

210: 爽死了我喜欢

211: 我喜欢这个游戏

212: 我来赞一个

213: 高长恭我爱你

214: 我就是喜欢这个游戏

215: 超级好玩的

216: 我也喜欢着游戏

217: 大爱兰陵王！！！

218: 这款网游还是不错，排行榜第5的是我哥

219: 呜哇接啊哈哈哈哈哈哈哈哈哈我喜欢啊

220: 我的最爱！！！！！！！！！！！！！！！！！！11

221: 超级赞的游戏！！！！！！！！！！！！！我喜欢

222: 谁能带带我！？

223: 朋友们都在玩，给我推荐的

224: 玩这个游戏人挺多的

225: 好玩啊！！！！！！！！！！！！！！！1

226: 家里的网速足够可以玩了

227: 哈哈，超级好玩啊！！！！！！！！！11必须赞

228: 大屏手机玩起来比较爽

229: 朋友介绍的，我们都在玩

230: 很好的游戏赞一个

231: 终于出游戏了，还是很值得一试的

232: 画面很炫！

233: 游戏不错，自己可以慢慢体会

234: 游戏不错，支持一下！

235: 里面的坐骑不错

236: 说实话是款很不错的游戏

237: 微博好友推荐的~~~玩儿了一下觉得不错！！支持一下~~~

238: 以我多年游戏的经验，这款还是不错滴

239: 衣服都很好看

240: 人物设计的很形象啊，跟电视剧一样

241: 昨天就开始玩儿啦~支持支持！！！32个攒~~~

242: 冯绍峰真的挺帅的

243: 真心好玩儿啊~~~游戏人物都喜欢！！哈哈哈~~

244: 朋友推荐的，一直在玩

245: 还可以，爱不释手

246: 大制作的啊~~~仙侠类游戏里的精品，值得玩儿~~~赞一个！！

247: 竟然还有侍宠，不错

248: 我一直都在玩，还不错

249: 画面很漂亮，声音也很美！不错

250: 一直都很喜欢这部电视剧，支持游戏

251: 不怎么玩网游，但是真的被这款游戏迷住了。很不错!

252: 挺好玩儿的！！刺激~~~

253: 画面感很细致

254: 二服打的很激烈 PVP太爽了

255: 游戏很顺畅

256: 很好玩！大爱我最爱的杨雪舞

257: 真的挺好玩的

258: 真是，有下载bug错误，360又下载不了最新版，进游戏下载走几下就不动了

259: 垃圾游戏  匿名的都是托

260: 我就去进去，不想发现任务一大堆！我是来打怪的不是来找气的

261: 画面真一般

262: 进不去，尼玛提示我网络错误

263: 为什么地图是黑色的？看不到人啊！什么情况？

264: 屎

265: 抹去脱坡地膜突破honor无图佛山了啦说啦说切咯哦肉蒲团葡萄葡萄欧恩路兔兔133758区啰嗦普通哦PK路与他陆续头哦徐誉滕不愧图pls路了7读英语你牛QQ卡了了他咯割破out驱魔1投诉额图诺诺N8胡put啦1啊就去泼妇而已所以额1啊去庐山真1哦二娃傻XDJ你莫1泌乳素多久1酷睿PK去搜附近1去兔兔哦1HK额1爱具体有1哦PS陪Dior秃头无语退了就送去他去他与她我回眸无语莫咯头晕摸头陌陌YY咯破or

266: 日操！尼玛的我咋发出去了吗你

267: 目前嗨美女你好，我日好没有发现跑来跑去的任务，你妈逼做个任务你妈逼跑来跑去的我点草日操！尼玛的，我是来玩游戏的，不是来做任务的还有尼玛比技能能不萌制作的牛逼一些！就像冰封王座和英勇联盟一样

268: '。

269: 除360还什么版本

270: 画面很漂亮啊，不花钱也很好玩~~

271: 没有玩过这个游戏不知道好不好玩

272: 顶个，的确好玩！

273: 这个跟弑仙是一样的 但是人家没那么坑人 这游戏尼玛全靠元宝

274: 朋友推荐的，我一直在玩

275: 我玩的时候就没有掉线

276: 天天在等待升级

277: 大家都来下载试试，还不错

278: 试一下就好了，还挺好的

279: 好玩，还不错哦

280: 喜欢游戏里的侍宠

281: 我天天都在玩

282: 天天都在玩

283: 我感觉还挺好玩的啊

284: 我去我去我去我去

285: 还说得过去

286: 精彩绝伦

