1: 为什么一开数据登陆360账号就老闪退，为什么为什么，
105: 为什么没有保存上一次玩的记录，每次玩都从第一关开始，这样真的不好，太吭了

106: 为什么每次打开都是从第一关开始，

107: 不错

108: 一直横屏真心受不了 人必须坐着玩儿 躺下就转 烦死！

109: 打不开了

110: 什么垃圾，不能玩，真他妈浪费时间

111: 赞!!

112: 刚玩了一天，打不开了。闪退

113: 我很想问，用360手机助手帐号登录会不会帮我保存记录，想刷机，又喜欢这游戏，怕到时候又要重头玩

114: 我好不容易一口气耍到50多关一退出都清零了

115: 神马破玩意

116: 141关有漏洞阿

117: 好好好太赞了

118: 太难玩了

119: 画面精致，很棒的游戏!

120: 垃圾呀！

121: 这是嘛游戏嘛！打都打不开，打开，它就退出来！千万别下，别上当！

122: 玩到后来不买道具实在玩不过去了  删掉了

123: 好玩是好玩，但是程序猿同志，咱能不能根据手机设置来旋转屏幕，你这样强制旋转真的很头大啊

124: 挺好玩的，画面也精致

125: 为什么找不到好友了

126: 很喜欢的游戏款式，最漂亮的一个。

127: 手机重装了，真的只有重来了吗，还有几关就通关了。

128: 怎么登录账号，我怎么找不到登录窗口

129: 粉碎声音不错，就是加载时太TM的慢了！没那个耐心等啊！！！

130: 夏日关卡不是应该有收集品的吗？为什么我全部通关了一个也没有？

131: 悲剧呀，好不容易玩到400多关，手机重装系统后全没了，又要重新开始，郁闷呀！

132: 已全部通过，冬日关卡285关，夏日关卡255关！求更新！！

133: 每天必玩一款刺激免费的终结跑车2，特别有意思。

134: 怎么样参加排名啊

135: 每天签到，每月的比赛，什么时候有啊

136: 已全部通关，什么时候更新

137: 为什么前一分钟我还通关到278关了，后一分钟再打开后就重头开始了？？？Tell me why？？？官方快给我个解释！！！不然我哭给你看！！！我好不容易玩到278关！！！！！怎么又给我从第1关重新来了？！！！！！！！！！！

138: 设计自动转屏的猪也真是无语了，游戏好玩是好玩，但是得改进了，280关才开夏日版的，结果230多关了卡的要死！真无语死了！

139: 都230多关了，卡死了，三个挨住都不消，浪费多少条命，去死吧！再玩不过去果断卸了，这辈子都不玩了！

140: 一联网就卡住动不了……重新下载也没用，求解决啊！！！

141: 自动横屏真是超级煞笔的设计，还不能修改设置，游戏越改越差，现在每天签到都不行

142: 一开始下载能玩，后来第二次打开就每次都不响应我也是醉了

143: 打开商店，为什么会出现闪退。能修复一下吗？

144: 我说的是真的大家打开浏览器输入百分网就行

145: 大家可以去百分网上下载，有破解版的还有修改的，都是最新版本

146: ☺来好友送礼"

147: 第96关有什么技巧吗？？过不去啊，，求大神指教

148: 过一关闪退一下，也是醉了

149: 联网闪退玩不了，还不同步。

150: 不寒而栗......小编的语文是体育老师教的吧233333

151: 联网都玩不了了

152: 说过不去千万别下的也是醉了。。通关一个月了，希望游戏快点更新，

153: 一个多月了，一直在登陆页面闪退无法登陆

154: 闪退啊啊啊啊啊！！！！

155: 购买道具一直失败  为什么啊

156: 为什么不能登陆。。。。

157: 游戏不太合理   玩了十几次都玩不过那一关   整得人心情烦躁

158: 卡机！！！！！！！！！！恨卡机！！！！！！！

159: 为什么收集品没得了？怎么玩都不出现

160: 游戏不错

161: 等待恢复生命时间太长玩得不够过瘾，，大发折扣o>_<o~

162: 弱智，浪费我流量，浪费电

163: 为什么购买不了道具啊  求解

164: 之前用360登录有记录的，现在进入都不能用手机号进入了~  重新开始我不如玩其他！那么久没解决这个问题！不喜欢玩没记录的游戏！就是垃圾！

165: 重新下乐账号都没了。信息也没了。简直是。。

