1: 老无原无故闪退，希望改进
138: 我今天刚玩的新区充了30元玩到34及刀塔来了可是我去刷了回来做任务要更新，更新提示地图不全，我重装了游戏。好了直接闪腿我还以为手机系统不行了，复出厂后重新下载还是这样，客服出来说句话怎么回事，玩个游戏容易吗我上班的重了30快就这个结局吗

139: 真是手贱啊。。。重新安装就闪退。。。

140: 什么破玩意！总是动不了，点什么都没反应！这我他妈要不是冲着陈晓来的我才不下这破玩意！一颗星给陈晓！

141: 好玩个鸡巴，垃圾游戏，能好评的人真是脑残。

142: 好玩

143: 草泥马什么破游戏，老子还是数据流量下载，尼玛个破游戏连服务器都不让老子进。老是失败。真几把垃圾的游戏

144: 登不上去，我的手机是苹果六这都不能登真是的

145: 老是更新，你当我手机内存很多呀！差评，没商量！

146: 卧槽！这破游戏！我手机内存明明很多，，，可它就是死说我内存不够！差评不解释←_←

147: 怎么今天登不上去?

148: 游戏是不错，开区太快，死区没意思玩

149: 好好好

150: 为什么我的账号好好的被封停了啊啊啊啊啊

151: 一十五区来人了，，再不来就死区了，，一个礼拜开了三十多个服务器。。

152: 我靠，怎么还排名第一了

153: 半天也没不知道怎么挂机

154: 卧槽

155: 这就是征途之姊妹篇内容以及技能及其相似，

156: 垃圾游戏

157: 垃圾中的战斗机   抄袭征途不说画质还那么差

158: 我去，进去一分钟，就给我闪退。

159: 卧槽，完全抄袭征途，一模一样

160: 与新征途真像

161: 从不玩网游的我。。。话说，，能不能别都去刘家。霍家每次都输。。

162: 我玩其它游戏来看，这游戏的优化做的简直不能忍。其它游戏比这个大都很顺溜，为啥你们这游戏玩起来这么不给力。体力还不能自动恢复是么

163: 能特么有点新意？完全照抄新征途  呵呵了

164: 雾草。。动不动就被人杀了

165: 礼包都没有？？？

166: 客服  你能出来告诉我  为什么玩个三五分钟就会掉线 ？？？

167: 好玩

168: 用WIF 一下就下好了

169: 好玩

170: 画面一般，流畅还好，有时PK太激烈会卡住，你会话费10个小时以上时间去玩，这个游戏，评价一般

171: 太垃圾，下载了，还下资源，1569资源下到1286就下不下了，说内存满了，靠，我出看内存没有满，下载资源太慢。

172: 下载下来，还要加载1589条进度，是要下几天吗

173: 土豪的游戏我是土豪金！

174: 日了狗了，破游戏下载都下不来，一直显示网络异常，搞笑了，老子光纤wifi你说老子网络异常？垃圾

175: 破游戏真好意思推荐

176: 不会玩?点我头像免费教。

177: 我勒个去！进不去

178: 打不开

179: 图片中的三阶魔甲让我想到另一个游戏，只会仿游戏

180: 打不开！

181: 总是断线

182: 打都打不開

183: 中兴玩得很好诶。。。

184: 不好玩，推荐花千骨

185: 老闪退，不好玩

186: 老是初始化怎么玩

187: 看了看评论，为什么我一个破魅族没有你们说的情况，玩的很好啊，，已经43级了，但是得充钱，不充钱进去就是被杀的货，还是感觉这是土豪的游戏。

188: 一直初始化，更新不动，怎么玩？

189: 游戏25级以后的地图更新不了

190: 为什么无缘无故封我号？我只是信号卡～有没有用外挂！还不会是我充值好了就封号吧

191: 呵呵，完全仿征途，没意思

192: 为什么25级之后下载那个扩展包一直显示初始化呢？后面的任务也做不了了！求大神告知！

193: 好玩，不错吧

194: 更新不了了

195: 下载了，更新不了，嘛的。头一次评分，给他都浪费。

196: 玩不了

197: 看了评论不想下了

198: 玩不了

199: 我看成诛仙了

200: 我想说游戏特效和电视剧一样都是五毛钱特效。

201: 很好玩，和剧情一样

202: 这游戏真特么垃圾

203: 玩着玩着就习惯了，我的头像让你一饱眼福

204: 我要當託。多少錢。給你刷好評。有分紅沒

205: 更新后我的游戏也木有了白充值了吗速度解决！！

206: 游戏不错，我很喜欢

207: 赤裸裸的抄袭。

208: 一更新！区名都变了！我怎么知道我人物在哪个区！我人物咋办！在搞笑么！

209: 五星以下评论不得？？？？？

210: 玩游戏都忍不住看评论  看完评论又不想玩了。。。

211: 看见拖就想吐，你特码怎么长得一点都不像我呢？一看就不是亲生的！

212: 这个游戏很好玩，祝游戏大麦

213: 游戏咋上不去呢

214: 。。。。。

215: 玩了两天来给好评

216: 这和新征途没什么两样，装备，称号活动……一句话就是征途Q版！！！

217: 看到评论就不想玩了

218: 我怎么找不到挂机啊 郁闷咯 不会玩 但感觉还是不错的比花千骨有意思

219: 一点也不好玩，画面不漂亮

220: 大爱abab 值得一玩

221: 垃圾

222: 什么破游戏，就认钱，没法玩，有没有给平民百姓设计的游戏

223: 好像和征途一样

224: 什么破游戏，很多升级装备的材料都要花钱买，不想花钱最好不要玩，有钱人的游戏！

225: 场景转变太垃圾了。还很多，很无语

226: 这游戏要有耐心

227: 太好玩了。

228: 我下过好多网游 ，  就这个还留着。。

229: 做尼玛逼的游戏，进去就卡，进去卡。玩尼玛。

230: 垃圾游戏，用几年前的资源再次换皮出来坑钱。你以为删除我评论就不会再发了吗？360为什么不给玩家说真话的权利，随意删除评论？？？？

231: 我想问下，这比游戏有仓库没有，宠物技能书怎么用啊，谁知道，告诉下

232: 三更半夜玩还行6 7点后卡爆了 退了重新进玩不到5分钟又卡了  一个小时卡了十多次  真心玩不起

233: 昨天玩的好好的，今早起来进来1000区？张世强1000区什么鬼？游戏被黑了？关服吧关服吧！

234: 今天几点开新区！！

235: 画质乱？技能都一样有意思吗

236: 大爱baby，游戏不错，值得一玩

237: 游戏精美好玩，非常的喜欢~

238: 这游戏有一个很大的亮点，如果你失眠可以玩一下，反正我玩的是快睡着了，木有一点可玩性，跟着剧情跑呀，跑呀，你要做好准备跑上十来级的剧情，虐人啊，我玩到24还没跑出来。

239: 仿新征途的游戏

240: 值得你玩的游戏，等你一起玩……

241: 这游戏真心不错！充值有没有币！很多地方都他么的垃圾！这是很不错的游戏！

242: 垃圾啊，不能用wifi玩，只能用移动网络

243: 怎么进不去呢？

244: 好玩的游戏，来玩吧……

245: 尼玛把征途改个画面，换个名字就出来了，里面除了人物样子和姓名不一样那点看都是征途，我也是醉了

246: 征途手游  换个剧情  换个马甲

247: 不卡

248: 很好

249: 感觉游戏做的很好！画面太美，人物造型完美！运行也不错，希望多出这样的精品游戏！

250: 好无聊，画面乱，人物找半天

251: 看起来好像不错的样子

252: 好！！

253: 前面升级快。功能也很多的吗。等着继续玩看看后面的花头。。。

254: 一般吧，感觉画面好凌乱……没什么特色啦

255: 唯一不足的地方就是很卡 希望快点优化

256: 专门为了喷云中歌。什么破电视剧，什么破演员，什么破特效，什么破演技，这游戏肯定不怎么样，脑残，渣渣

257: 垃圾游戏老子充值给黑了客服就只会说已反馈个运行商请等待回复。老子等了尼玛8个小时了回复尼玛逼

258: 好卡的游戏。！

259: 游戏不错，很好玩  好评

260: 云中歌真的很好玩，小伙伴们快来吧，五星好评

261: 首冲送礼包了，真心给力，多多益善！

262: 点任务，寻路，刷怪，做任务。玩了2个小时，已经20多级，升级速度快，打击感也不错

263: 玩着还不错，我是华为手机，运行顺畅没有卡顿

264: 刚开始玩，感觉还行，即时战斗手游玩起来也不复杂，有新手指导，值得推荐

265: 新人求罩！不会用语音，就想找几个志同道合的朋友一起玩

266: 几大职业里面琴师玩的人最多，输出高，伤害高，唯一就是脆皮。。

267: 中途掉线了一回，全平台上线第一天，还算可以，好评

268: 人物场景做的不错，看来有用心做游戏，希望手游多多给力，全平台上线多给点活动福利

269: Angelababy 美的不像话。不愧大家的女神！

270: 手游的剧情内容是最大的特色，边看电视剧，边玩手游是一种享受

271: 画面感不错，技能很炫，战斗节奏比较快，即时战斗手游的一贯特点

272: 签到！同名手游云中歌，原班人马配音，瞬间觉得高大上了

273: 第一次玩，手游刚上线，活动也多，常驻这里了

274: 玩法多，上手快，操作简单，期待后面的国战 帮战，世界BOSS``

275: 现在的电视剧游戏也是醉了~~~花千古，琅琊榜，云中歌，神同步。。。。本来下好了回去玩，妹的玩到25级居然又有后续下载扩展包，好尼玛大一个扩展包而且必须在游戏里下~~我尼玛！！你为毛不弄个完整的客户端？你和流量公司签协议了吗！妹的不爽~！卸载！

276: 延续电视剧的剧情，主线任务清晰，人物Q萌可爱，我是女生也喜欢

277: 玩了个弓手，突然又对琴师职业感兴趣...囧...

278: 首冲送了时装还有坐骑，真心不错，给力！

279: 我的baby女神结婚了，无奈只能玩玩云中歌手游支持她

280: 古风古韵的场景，画面党可以考虑下载玩玩

281: 全平台上线了！终于可以玩了！原剧配音就是爽

282: 我来说两句 ab是我的

283: 为什么到了里面玩到25级还要下载？为什么不放个完整的客户端？

284: 新征途换个名字继续圈钱，那我选择新征途

285: 就是新新征途，你妹一个样

286: 这游戏简直没特色，和几年前的网页游戏一样。充了首冲，玩了10多分钟删了。

287: 都说跟什么都一样，和我的名字一样，都招宅男的喜欢！

288: 伊本丝萝,愿托乔木,
纠纠缠缠,朝朝暮暮,
聚散有时,生死荣枯,
把爱交付,让心归宿!

289: 超级喜欢的一款游戏五星送上

290: 垃圾。用几年前的资源换皮来坑钱

291: 这跟新征途有差吗

292: 好玩好玩好玩

293: 和花千骨差不多。呢概念车画面清晰

294: 什么破游戏啊？？打字说话都说不了

295: 跟征途手游一样的，道具外形都没改

296: 没服务器?

297: 非常不错。大爱这款游戏

298: 可以有一点创新么

299: 好无聊的游戏。反应慢

300: 好玩

301: 开区福利只有充钱。画面垃圾。好评。不要玩

302: 不好玩，脑残游戏

303: 连接不到服务器是什么意思？？

304: 我的名字就是大家都喜欢的

305: 能不能多开几区 就一个区  玩个屁  进都进不去 果断删

306: 都别玩了，就是新征途，垃圾

307: 好好玩啊

308: 我靠还不能玩啊！

309: 今天不是13号？？怎么还登不上？？不是又坑人的吧！！

310: 尼玛  怎么还不能玩

