1: 不好玩
139: 自从下了游戏，女友老是抢我手机，有这么好玩么

140: 玩着玩着时间就过了，时间过得太快了

141: 赞！游戏画面好棒！光这画面就值满分啊！

142: 都通关了，什么时候更新阿

143: 玩累了就去玩会一款好玩又刺激的，终结跑车2

144: 跟本打不开游戏！

145: 不就是保卫萝卜吗？而且也不是特别好玩，没有什么新意，连武器都是差不多的，怪物的声音也和保卫萝卜一样，感觉不满意，但也称不上破游戏！✿

146: 进不去

147: 闪退，打不开

148: 游戏非常不错，希望越来越好！

149: 就是保卫萝卜

150: 什么破游戏啊，不就是抄袭保卫萝卜

151: 好玩

152: 如果下次更新有人物什么的就更好了  背景音乐也不像花少的  还是希望出一个像第一季那样的大富翁类型的

153: 希望出人物角色，要选井宝！

154: 为什么闪退 有时打不开 帮我查原因

155: 非常好，54秒就安装上了，也很好玩，但是就是需要联网……

156: 游戏非常好玩，很喜欢，希望游戏越来越好!!!!

157: 这个是保卫萝卜加强版！！！比保卫萝卜难，有趣多了。说比不上保卫萝卜的都是有问题

158: 闪退

159: 没有保卫萝卜那么好玩，还是觉得保卫萝卜比这个好玩不知道多少倍。还是喜欢玩萝卜。

160: 喜欢

161: 跟熊出没保卫家园没区别，完全一样

162: 一点都不好玩，保卫萝人比它好玩千百倍，还费流量

163: 不好玩！

164: 这跟保卫萝卜有啥区别

165: 根本就是骗人的，千万别又载

166: 抄袭保卫萝卜

167: 一星也不想给

168: 你是猪吗？250，打不开。

169: 贱，黑屏打不开不应该给你好评

170: 老板，服务态度不错，我下了

171: iiiiiiiiiiiiiiiiiiiiiiiiiiiii

172: 挺好的，保护花儿。嘿嘿。

173: 进不去

174: 一颗星都不想给

175: 玩不起来，进去就黑屏我的手机是HTCM8帮我找找原因

176: 持续黑屏进不去啊

177: 不错，就是关卡少了点

178: 为什么下载之后打不开是黑屏，进不去！！！！！！

179: 很好玩呢，很不错的游戏，喜欢。

180: 好玩，好玩，让人上瘾的一款游戏，很棒，推荐！

181: 不错的游戏！

182: 還可以啦

183: 不错的塔防游戏～画面QQ哒～

184: 好玩！！！

185: 和玩保卫萝卜一样

186: 很好玩哦哦哦，一二季的游戏我都有玩的很多呀，真的很不错

187: 为什么下载完之后为什么进不了

188: 很不错啊，看着简单，要想玩好还真挺不容易的。

189: 很有新意

190: 打开就错误是什么鬼？不支持安卓5.0？

191: 可不可以更好玩一些

192: 特别特别特别特别特别差 ！

193: 减压塔防，玩起来也很轻松！

194: 游戏挺好玩的，挺萌萌哒，希望免费的关卡再多点，或者只有免费的就好了，这样玩的人也会很多的！！！

195: 太不好玩儿

196: 和保卫萝卜差不多，萌萌哒！

197: 打不开

198: 好难

199: 我玩了那么多关，为什么要从头开始

200: 好可爱的说，希望多加点关卡吧，么么哒

201: 挺好玩的休闲游戏，希望多增加玩法，降低点难度

202: 这游戏和“保卫萝卜”差不多

203: 整体效果不错！内容丰富！期待有更多惠利活动！

204: 游戏玩了一会了，觉得很不错，非常棒！是一个休息娱乐的好游戏！

205: 无聊的时候不可缺少的休闲游戏

206: 终于等到你。。。果断下载

207: 女朋友上课经常玩，我已经无语了，居然拉着我过来玩，这游戏真有这么大魅力吗？我也来试试

208: 心情不好的时候玩会，心情就好了

209: 不错，我和我的女儿都非常喜欢。

210: 有点叼，玩玩先。

211: 好玩呀

212: 太好玩了，，，简直爱不释手，，刺激   么么哒。

213: 很喜欢这个游戏。

214: 游戏画面狠可爱，如果炮设计的更可爱一点的话女生会更喜欢。

215: 室友既爱玩这个还在玩pp语音，又是游戏又是聊天交友，就数他的生活最滋润了。

216: 好贱这个游戏。

217: 玩不了

218: 好玩

219: 游戏背景和节目有关，玩起来很有乐趣，支持！多加入一些关卡就好了

220: 感觉还不错

221: 棒棒∽！！！希望能红红火火！！！

222: 特别喜欢花少(๑´ω`๑)正经夫妇!游戏大赞~

223: 不错哦，推荐。。。

224: 游戏非常好，加入人物和关卡多一点就好了

225: 游戏很不错，关卡在多点就更好了

226: 不错

227: 还阔以啦，喜欢休闲游戏的朋友可以玩玩。

228: 觉得还是第一季大富翁类型的好玩点  这个为啥都没有人物。。。

229: 好萌啊，障碍物太少了，设置几个宝箱形状的呀

230: 游戏真好玩

231: 芒果粉，游戏很给力。

232: 不错我哟

233: 游戏不错咩，希望越来越好。

234: 游戏不错哟，画风点赞！

235: 好玩，支持

236: 太好玩了，终于有一款游戏能消磨时间了

237: 好玩

238: 好玩好玩，

239: 玩了下.赶脚还不错.

240: 好好玩哦，比保卫萝卜好玩，但是建议关卡多点

241: 玩了小下.赶脚还不错.

242: 很给力，能联机的话就更给力了。

243: 越玩越上瘾了，怎么办。。

244: 闲暇之时，难耐寂寞，一款游戏悄然相伴，使您寂寞不在。

245: 我反正非常喜欢这款游戏，么么哒

246: 太有趣啦，萌哒萌哒的，大爱！

247: 天哪 很上瘾的游戏！关卡好多好有意思。

248: 还可以吧 像保卫萝卜

249: 挺好玩的，就是难度有点高，谁能教我怎么玩啊~~~~

250: 游戏还不错，就是关卡太少了，多设一些关卡最好。

251: 不错不错不错啊，哈哈哈哈哈哈哈

252: 游戏还不错，就是关卡太少了。

253: 试玩儿了一下，还不错，画面都QQ哒！

254: 使用葫芦侠可以修改钻石，最大9个9的钻石，金币最大5个9，改成6个位数，怪物无敌

255: 还不错

256: 屎一样的游戏 抄袭也得来点特色啊

257: 游戏不错，挺好玩的，希望能抽到礼包。

258: 塔防游戏，感觉挺不错，希望能超过保卫萝卜，我觉得可以多一点与小井他们的互动画面

259: 有點難○錢幣給的少，要升級道具打死怪物更難^^{{ 使用修改器增加金幣，無法使用 }}不是當機就是卡機~~({ 意思要錢了 })而且重玩，就顯示愛心不足~叫你花錢買生命^^

260: 其实也没有模仿不模仿的，主要是保卫萝卜制作的好，现在也有很多相似的塔防类。不过这款做得还是不错！就是关卡太少了。。。

