no.	id	content
42	兔兔马	配音配乐天上有地下无我忍了，场景剪辑神乎其神我忍了，剧情改编鬼斧神工我忍了，国产特效叹为观止我也忍了，可是特么谁能告诉我第一集里白子画给花千骨吃的包子为毛要特效？！想告诉我剧组有钱得连个包子都不屑买可以直接用无敌的特效做出来嘛？！
43	Dany	预告片是骗人的
44	烬	典型性玛丽苏剧
45	大魔王。	快进到了第26分钟，看到千古挖了胡！！！萝卜！！！然后！！！就洗澡了！！！终于的受不了弃了~~~看过原著的人请不要点开，有毒！！！
46	深海澜光	这醉人的台词。。。一看编剧是原作者，果然，呵呵呵。
47	张苑希	剧情特效渣到爆啊喂，剧组是有多穷，包子居然也用特效！！！对于霍建华我只想说，在看过了你演战长沙里那么正气凌厉的顾长官以后，再看这么玛丽苏的白子画，还是多演正剧吧好吗？
48	哆啦a梦●—●	特效太烂。包子都做特效 能花1块钱买个不？配音不好 对不上口型 演员演技差 男女主父女既视感，一星给赵丽颖。
49	瓦达西瓦又又又桑只爱这巧克力	准备为脸看的，无奈剧情太蠢，中学生写的小文也能理解，只是我国作家已经集体冚家铲了吗，要去用一个中学生的小文做剧本。。。
50	深 氺	什么鬼
51	唯有时光	不但烂 还要搞得这么臭长臭长的
52	Jesse Chiao	1.特效什么鬼，剧组连包子都买不起吗？2.比这么烂的小说还烂真是醉了。3.还我顾清明。4.都什么年代了，还用配音，现场收音这么难？5.赵丽颖还不错
53	风吹我已散	６．９分？怎么可能？
54	_scofield	吓到我了，赔钱
55	墨阳	呜呜呜，臣妾做不到啊，实在看不下去啊。。
56	芥子狼	被第一集的怪兽惊呆了，虽然是玛丽苏意淫神剧，但剧情尚可。
57	KENN的守护灵	剧本就是一颗星演技再好也出不了花。白烂圣母玛丽苏果然是市场最欢迎的烂白菜，花千骨你他妈作为女魔王除了想男人还知道个jb？
58	景深	剧情又雷又拖，改编还不如原著
59	阿堇	对我就是传说中的V姐颜粉 我从当年新还珠只放了片花出来里面有晴儿一个镜头的时候就是她的颜粉了 如果不是V姐那么奇葩肯定不止是颜粉  霍建华好残
60	木子维	玛丽苏剧，特效五毛
61	行走的罐头鱼	我就是来黑一下，一集没看过，算是赵丽颖的路人粉，没错我就是冲着霍建华来黑的，不管演什么都是以一个样的霍叔叔你一把年纪了还喜欢演玛丽苏剧你开心吗？你还要毁185的薄大神你开心吗？五短身材精神萎靡演戏没眼神怎么会被那么多无知女屌跪舔成男神的啊！！！女同志们你们瞎了吗！！！
62	三日以往	特效好烂，演技浮夸，剧本一般。没看过原著略幸运。
63	有邪气	白子画好帅啊，迷得七晕八素了
64	慕清寒	玛丽苏。霍建华年纪略大了，真的不适合演白子画。
65	暗夜偷星	我自己打脸了，就算编剧有原作者也救不了了。什么毁了都没关系，为什么要给师父这么嫩的配音？为什么书里面全世界我最牛叉的白子画在电视剧里这么弱这么无存在感！
66	潋影	看到霍建华一出场嗖嗖嗖直冲云霄，还以为是猴哥。当年的男神如今成了这样，哭了。哎。
